Date,Open,High,Low,Close,Adj Close,Volume
2020-02-19,46.840000,47.389999,46.759998,47.180000,45.755501,32700
2020-02-20,47.119999,47.520000,46.709999,47.230000,45.803989,23500
2020-02-21,47.250000,47.250000,46.689999,47.130001,45.707008,32100
2020-02-24,46.230000,46.320000,45.549999,45.639999,44.261993,31500
2020-02-25,45.619999,45.900002,44.459999,44.570000,43.224300,53800
2020-02-26,44.770000,45.349998,44.299999,44.369999,43.030338,34400
2020-02-27,43.750000,44.480000,41.590000,42.939999,41.643517,71300
2020-02-28,41.939999,42.520000,39.820000,41.009998,39.771786,110300
2020-03-02,40.959999,43.369999,40.619999,43.369999,42.060532,55600
2020-03-03,43.080002,43.139999,41.689999,41.880001,40.615520,126200
2020-03-04,42.389999,42.389999,41.320000,42.000000,40.731899,77100
2020-03-05,41.389999,41.410000,39.759998,40.549999,39.325676,60600
2020-03-06,39.029999,40.119999,38.310001,39.310001,38.123116,58700
2020-03-09,36.970001,38.070000,34.919998,35.060001,34.001438,47000
2020-03-10,36.099998,36.470001,35.000000,35.490002,34.418453,81900
2020-03-11,34.470001,35.169998,33.950001,34.099998,33.070419,76300
2020-03-12,32.369999,33.980000,30.719999,30.870001,29.937946,80300
2020-03-13,32.270000,34.150002,31.190001,34.139999,33.109211,100600
2020-03-16,30.240000,33.060001,29.920000,30.450001,29.530624,76700
2020-03-17,30.740000,34.480000,30.120001,34.450001,33.409855,102300
2020-03-18,32.389999,32.889999,29.900000,30.520000,29.598511,85500
2020-03-19,30.309999,35.570000,30.309999,34.990002,33.933552,88600
2020-03-20,34.520000,36.939999,32.889999,32.930000,31.935745,155900
2020-03-23,33.130001,33.299999,29.420000,30.559999,29.637304,66900
2020-03-24,31.809999,32.060001,29.790001,30.129999,29.220285,101000
2020-03-25,30.000000,30.350000,28.590000,28.940001,28.066217,74200
2020-03-26,29.120001,32.529999,29.120001,32.000000,31.033827,60800
2020-03-27,30.469999,31.150000,29.070000,29.240000,28.357159,89000
2020-03-30,29.520000,30.660000,29.160000,30.000000,29.094212,63100
2020-03-31,29.730000,31.610001,29.389999,31.450001,30.500433,88100
2020-04-01,31.000000,31.000000,28.889999,29.270000,28.386253,68000
2020-04-02,28.879999,30.010000,28.469999,29.570000,28.677197,67200
2020-04-03,29.170000,29.840000,27.730000,28.299999,27.445541,44300
2020-04-06,29.389999,30.160000,28.730000,30.040001,29.133007,88700
2020-04-07,30.040001,31.290001,28.959999,29.799999,28.900249,80200
2020-04-08,30.240000,30.760000,29.570000,30.260000,29.346361,54000
2020-04-09,31.010000,32.779999,30.940001,32.779999,31.790276,82400
2020-04-13,32.529999,32.529999,30.870001,31.490000,30.539225,48200
2020-04-14,31.610001,31.610001,29.549999,29.860001,29.265123,74100
2020-04-15,29.160000,29.160000,27.840000,28.010000,27.451979,64100
2020-04-16,27.850000,27.850000,26.000000,26.930000,26.393496,86700
2020-04-17,27.760000,28.590000,27.389999,28.350000,27.785206,117800
2020-04-20,27.670000,28.850000,27.459999,27.709999,27.157955,69100
2020-04-21,27.450001,28.459999,26.830000,28.010000,27.451979,56900
2020-04-22,28.700001,28.730000,27.610001,27.910000,27.353971,31300
